,author,PhD publication year,university name,country name,PhD title,subject,number of mentors,mentors,number of students,students
0,Mohamed  Abdel-Nasser,2016,Universitat Rovira i Virgili,Spain,Development of advanced computer methods for breast cancer image interpretation through texture and temporal evolution analysis,68—Computer science,1,['Antonio  Moreno'],0,[]
1,Joaquín  Adiego,2004,Universidad de Valladolid,Spain,"La Estructura de los Documentos en el \'Ambito de Recuperaci\'on de Informaci\'on: Propuestas para su Compresi\'on, Indexaci\'on y Recuperaci\'on",68—Computer science,2,"['Pablo  de la Fuente', 'Gonzalo  Navarro']",0,[]
2,Mauricio Fernando Alba-Castro,2011,Universitat de València,Spain,Abstract Certification of Java Programs in Rewriting Logic,68—Computer science,2,"['María  Alpuente', 'Santiago  Escobar']",0,[]
3,Elvira  Albert,2001,Universitat Politècnica de València,Spain,"Partial Evaluation of Multi-Paradigm Declarative Languages: Foundations, Control, Algorithms and Efficiency",68—Computer science,2,"['German  Vidal', 'María  Alpuente']",2,"['Gómez-Zamalloa, Miguel', 'Román Díez, Guillermo']"
4,Alexandre  Albore,2011,Universitat Pompeu Fabra,Spain,"Translation-Based Approaches to Automated Planning with Incomplete
Information and Sensing",68—Computer science,1,['Hector Alberto Geffner'],0,[]
5,Pedro  Almagro Blanco,2017,Universidad de Sevilla,Spain,Descubrimiento de Conocimiento en Grafos Multi-Relacionales,68—Computer science,1,['Fernando  Sancho Caparrini'],0,[]
6,Matias  Alvarado,1998,Universitat Politècnica de Catalunya,Spain,An Approach to Knowledge and Belief Based on Kleene Strong Logic,68—Computer science,1,['Gustavo  Núñez'],4,"['Altamirano-Robles, Luis', 'Gama Moreno, Luis', 'García Lamont, Farid', 'Yee-Rendón, Arturo']"
7,Luz Deicy Alvarado Nieto,2002,Universidad de Oviedo,Spain,Tutores inteligentes basados en mecanismos e aprendizaje automático,68—Computer science,1,['J. Secundino  López García'],0,[]
8,Ihosvany  Alvarez-Lopez,2006,Universidad de Granada,Spain,"Aportaciones al diseño e implementación de controladores difusos:
Aplicación al curado del tabaco en hoja",68—Computer science,2,"['Orestes  Llanes-Santiago', 'Jose Luis  Verdegay']",0,[]
9,Agustin  Alvarez-Marquina,1999,Universidad Politécnica de Madrid,Spain,"Aportación a la extracción paramétrica en reconocimiento de voz robusto
basada en la aplicación de conocimiento de Fonética Acústica",68—Computer science,1,['Pedro  Gómez-Vilda'],0,[]
10,Diego  Andina,1995,Universidad Politécnica de Madrid,Spain,Optimización de detectores neuronales. Aplicación a radar y sonar,68—Computer science,1,['Unknown'],1,"['Jevtić, Aleksandar']"
11,Gustavo  Andrade-Miranda,2017,Universidad Politécnica de Madrid,Spain,"Analyzing the Vocal Folds Dynamics
Using Laryngeal Videos",68—Computer science,1,['Juan Ignacio Godino-Llorente'],0,[]
12,Ewa  Andrejczuk,2018,institut d'investigació en intel·ligència artificial,Spain,Artificial intelligence methods to support people management in organisations,68—Computer science,2,"['Carles  Sierra', 'Juan-Antonio  Rodriguez-Aguilar']",0,[]
